pseudotime_bin,pseudotime_center,program,mean_score,sem,n_cells
36,0.72926974,AT2_to_AT1_differentiation,0.22403916703308724,0.06280110302949855,25
36,0.72926974,apoptosis,0.002980458013749182,0.0204198928652909,25
36,0.72926974,senescence,-0.027078049765550755,0.025107356301370214,25
37,0.7474918,AT2_identity,0.7201888289519639,0.15028646437400908,12
37,0.7474918,AT1_identity,0.27330625804650766,0.06526737149180162,12
37,0.7474918,interferon_response,0.04768672078311468,0.05176649748002174,12
37,0.7474918,nfkb_inflammatory,0.03141723154353677,0.03492400296847574,12
37,0.7474918,oxidative_stress,0.0011491866709074487,0.046468809161682285,12
37,0.7474918,AT2_to_AT1_differentiation,0.05852471425316843,0.055357490719294404,12
37,0.7474918,apoptosis,0.039201645645262406,0.046559712840061364,12
37,0.7474918,senescence,-0.010737594327018605,0.037079047174901555,12
38,0.76890343,AT2_identity,0.7849800629852153,0.1258945159736371,17
38,0.76890343,AT1_identity,0.09571841368744494,0.05893470501729494,17
38,0.76890343,interferon_response,-0.05395919572643103,0.02261975201088664,17
38,0.76890343,nfkb_inflammatory,0.09601267392594907,0.0668119143329397,17
38,0.76890343,oxidative_stress,0.00962928926739959,0.038737290778305684,17
38,0.76890343,AT2_to_AT1_differentiation,0.036118307912556,0.047383740812324056,17
38,0.76890343,apoptosis,0.005566429834794411,0.027783982340091152,17
38,0.76890343,senescence,-0.04517292732571174,0.021914292856484274,17
39,0.7897012,AT2_identity,0.7257428000362357,0.10447270138721607,19
39,0.7897012,AT1_identity,0.37828257376804686,0.08221543287898456,19
39,0.7897012,interferon_response,0.03750078119758886,0.05968657360275988,19
39,0.7897012,nfkb_inflammatory,-0.02105412548436064,0.038239218115726614,19
39,0.7897012,oxidative_stress,0.015928560461816704,0.043786762390339136,19
39,0.7897012,AT2_to_AT1_differentiation,0.3523685485719393,0.06371363123271097,19
39,0.7897012,apoptosis,0.05336169054768976,0.04043289110080747,19
39,0.7897012,senescence,0.007486189557744825,0.03129029474648555,19
40,0.8110323,AT2_identity,0.7696910880660087,0.09960815186338269,20
40,0.8110323,AT1_identity,0.12193412770643297,0.052473814434279654,20
40,0.8110323,interferon_response,0.012963109475875484,0.03068216355021321,20
40,0.8110323,nfkb_inflammatory,-0.01947059663802353,0.02409759474576809,20
40,0.8110323,oxidative_stress,-0.016430205053630107,0.042124480254809436,20
40,0.8110323,AT2_to_AT1_differentiation,0.0017845168727020951,0.053038721041454844,20
40,0.8110323,apoptosis,0.03193149051770187,0.027403761184734372,20
40,0.8110323,senescence,0.0390726715407944,0.02632632808319698,20
41,0.832995,AT2_identity,0.5062169298713196,0.14750997718104544,12
41,0.832995,AT1_identity,0.24994601353332832,0.09622210437040303,12
41,0.832995,interferon_response,0.008173837899062744,0.036058514380224754,12
41,0.832995,nfkb_inflammatory,0.06981348575813134,0.03249000929895235,12
41,0.832995,oxidative_stress,0.05055149933880899,0.03248450427649914,12
41,0.832995,AT2_to_AT1_differentiation,0.12844450025347043,0.06416390172269269,12
41,0.832995,apoptosis,-0.0022357556237704024,0.028838864476268145,12
41,0.832995,senescence,0.0370219934320968,0.04154597714174589,12
42,0.84621835,AT2_identity,0.9018457244362773,0.11280369024509339,8
42,0.84621835,AT1_identity,0.4627517928898688,0.14242910722437813,8
42,0.84621835,interferon_response,0.06869656311672878,0.07247539677516773,8
42,0.84621835,nfkb_inflammatory,-0.07982407154288323,0.036705022714036036,8
42,0.84621835,oxidative_stress,-0.03568605505457274,0.076265152571507,8
42,0.84621835,AT2_to_AT1_differentiation,0.18235457767382585,0.09102190961657419,8
42,0.84621835,apoptosis,-0.0021151884101606837,0.032435224381987655,8
42,0.84621835,senescence,-0.0683979524206878,0.028909311907384737,8
43,0.8692169,AT2_identity,0.3702661710072072,0.1231586401434539,7
43,0.8692169,AT1_identity,0.2689169404481182,0.1735108117588616,7
43,0.8692169,interferon_response,0.006335918380030987,0.03432444058705824,7
43,0.8692169,nfkb_inflammatory,-0.010298585143922066,0.05243017446930782,7
43,0.8692169,oxidative_stress,0.05776444293731461,0.07322617045906273,7
43,0.8692169,AT2_to_AT1_differentiation,0.13529148951085718,0.14666224671903177,7
43,0.8692169,apoptosis,-0.05155014925942497,0.022862397734323404,7
43,0.8692169,senescence,0.012247119280449264,0.05541285326641924,7
45,0.90981936,AT2_identity,-0.23283339956528173,0.27951271943789197,3
45,0.90981936,AT1_identity,0.22324104994525326,0.22436904409520475,3
45,0.90981936,interferon_response,0.02875528524985535,0.09594178694867175,3
45,0.90981936,nfkb_inflammatory,-0.0038660116620776778,0.05570899003347346,3
45,0.90981936,oxidative_stress,-0.11707723697735567,0.04674059736187879,3
45,0.90981936,AT2_to_AT1_differentiation,0.11382900045722115,0.21553104638708478,3
45,0.90981936,apoptosis,0.10007260501796127,0.16398664029015173,3
45,0.90981936,senescence,-0.036003950809962694,0.05140927067991467,3
